IMEISV,IMSI
0124380031872804,454063306043718
3587940447057601,454061101367199
3598810312215902,454061101268046
3597690301686600,454061103038432
3585330412966501,454063302474257
3520060431109814,454063392535303
3558560410316301,454063302291798
3573310474845101,454063302894804
3526080401592835,454061100445921
3561860408358212,454063302559067
3583450301133024,454063392468634
3593390363352874,454063392449705
3596160487137901,454061106039696
3518230567281301,454063302902489
0126460058436112,454063307128167
3591880458102001,454063307001644
0130360017536503,454061106127062
3593720476329001,454061101346916
0127460068417612,454061106066572
3562990415174801,454063302837601
0130300078034004,454063307286350
3590900480912901,454061101030090
3590900447015601,454061101436721
3562160409606200,454063302848076
0130080072395105,454063307379580
0124160025416104,454063307068689
3596160486243501,454063302892062
0125350006487613,454063307106929
3595480416579601,454063302727775
3577370470749569,454063392455176
3565210427952611,454063307327794
3596160457262801,454063302857347
3599590472622301,454063302977117
0130070019047505,454061106097451
3596160427604501,454063302422519
3520690501822101,454063308020013
3590900484390701,454063302787023
0124200048941615,454061106031331
3567720484628500,454063307173313
0130360090952803,454063307315965
0130060074288802,454063307240486
3577370451560269,454061192560414
0130370082435105,454063307097664
0130310012235204,454063307289846
0130440024750804,454061106133451
0130480023974905,454063307357094
3593950311527721,454065100010087
3590900451542901,454063302940131
0130460034308704,454061106029724
0130450035174404,454063307351281
0121640063398405,454063302303029
0130310041603102,454063307278415
0127030004814964,454063302417406
3520370318635900,454061101450456
3557940401816001,454061191485842
3574960410765601,454063302421329
3595750439467901,454063302975429
3598280445062901,454061191437303
3534910456817604,454063302888136
3558560410983501,454061101455673
3597690301762100,454061103038469
3597690301799700,454063303046808
3598990415309701,454063391509787
0130070074190504,454063307128108
3571160422510600,454061101363891
0125470016112306,454063307127400
3517100518904503,454061106153249
3595750448145101,454063307127023
3590900473920201,454063300791987
0130490077720105,454063307361380
0132140005509801,454061105044631
3591880460226101,454063307359335
3591180435476501,454063302013221
0124290062703311,454063307268134
0130350083590402,454063307303546
0127500010643013,454063307251514
3597690301835900,454061103038281
3597780451992101,454063302331318
0130310084718205,454061106121233
3583130496159601,454061101462009
3596160450659701,454063302831736
3595000110880600,454061101477089
0129640074098513,454063307054565
3521720509915601,454063391479839
0130370013562604,454063307341067
3553010417145401,454063302473257
0125440073433814,454063307080886
3517100513387306,454063307362759
3526080401790535,454063302994210
3515540512294201,454063302959717
3597690301848900,454061103037732
0128480037664515,454063307128980
3515540515515601,454063302617221
3546720405381401,454063302841949
0124280097796114,454063306028576
3597690301709500,454061103038467
3518220515832001,454061101331263
0130440067101204,454061106050069
3595000114493800,454061101477098
3585080428327158,454061191511189
3515540530450401,454061083710260
3597690301845200,454061103037698
3550810320266502,454061191504403
0124180055854914,454063306036700
0125330000759314,454063307060760
3577370458659069,454061191483700
3515540522017101,454063302715801
3553100488239001,454063302944743
0130620010132905,454063307246314
3549490416378301,454063302860622
3579000413376025,454061192410523
0125470022224410,454063307105797
3594190337122171,454063302626517
3583430434452464,454061192400894
0127480019611814,454063307250120
3517100555372006,454063307379665
3597850410469701,454063302984032
0124220044877213,454063307247942
0124270041107106,454063306029603
3574370436753229,454061101431320
0121600012420015,454063302915866
3570320409680901,454063302873451
3554650415541804,454063302833697
0125440017063209,454063307111729
3596160482811701,454063302878652
3589380421360701,454063308028760
0126550042709306,454061106057508
3581500483799001,454061106023074
3585520411343709,454063302342306
3585370421085001,454063302734292
0130460090037403,454063307319535
3544060424293501,454063302879109
0130480001239805,454061106106664
3593720487454801,454061106012765
3529740217832916,454061103034421
3590900420902001,454063302750885
3544060430744401,454063308018498
3526680424819101,454061101385546
3593720495956101,454063302972647
3517100555370706,454063307362595
3596160455649601,454063307202300
3544060423222501,454063302340595
0124200032086014,454063307374467
3529740218555516,454061101383826
3583420428292101,454063302961877
0127460096675213,454063307226184
3585060404175964,454063302956585
0130040045401504,454061106108352
0130300078271504,454063307286269
3521670521354701,454063302975491
3590900484264401,454063302937313
3564510407780343,454063302993651
0128420074531014,454063307270839
3553010438255101,454063308021682
3597440482464007,454061192652276
3596160450709401,454063302942572
0125400062794210,454063307077005
3597780417466101,454061101042496
0127480076863514,454063307228462
3591880463100501,454063302819762
0124270007049108,454061106005212
0127480063218315,454061105029893
0124260029316606,454063307028561
0127430074566214,454063307190697
3583130495326001,454061106067276
3596160417789801,454061101440732
0124200017113415,454063307016732
3518230547971401,454063302872507
0124180097309004,454061106010700
3585370483988101,454063302115036
3581500486590801,454063300745312
0129620062181915,454061106071653
0128370084395315,454061106108737
0130360038048705,454063307315100
3585370498603401,454063307021343
0127440032159314,454061106154108
3518230547902401,454065000027662
0125440080187714,454063307089140
0130040081961904,454061106094420
3517100513175003,454063307377182
3521670515877101,454063307036533
3590900445898101,454061101439526
3581500436546501,454061101389954
0130420001846003,454063307351421
0128440096106811,454061106105436
0125470077668114,454063307109562
0124270077096715,454061106026121
3518220516199901,454063308015023
3581500458406801,454063302850941
3585370426784901,454063302993161
0127430020505715,454063883792573
0124280098270915,454063307000474
3596160486023001,454063302908817
3581500489982701,454063302921625
0125380012698515,454061106025946
3544060400872401,454063302991195
3597780408637801,454063302945103
0124240005955515,454061106037179
3596510469556201,454063302965152
3599590425311401,454063302880491
3597780438279901,454063308014720
0127500089115014,454063307243665
3595480420059301,454061085506984
3583130495885501,454063302959686
3595480421818501,454061106071008
3588800399735000,454064500540855
3520370313699300,454061101461514
3517100508715003,454063307341066
0126440081746515,454061106068490
3515540521990101,454063300921141
3596160431595301,454063302090543
0127540000942413,454063307180308
3544060475694201,454063883719354
0130460003085404,454061101005304
0130500085517004,454061106143012
3596160444151101,454063302800008
3596160487701901,454063302872979
3556680423072800,454063307340691
3596160454021201,454061101483233
3584900446451701,454063302516447
0126570012152714,454063307092353
0127510033487114,454063307170967
3553100488347201,454061101440198
3517100508628103,454063302938046
0130030095546704,454063307255789
3545230400127633,454063302825084
3553100490693501,454063302890393
3597780458118101,454063302805671
3517100506693008,454063307360076
